position,team,played,allCorFor,allCorAgst,perGameCorFor,perGameCorAgst
1,Liverpool,4,42,12,10.5,3
2,Man City,4,39,9,9.75,2.25
3,Man United,4,26,19,6.5,4.75
4,West Ham,4,25,15,6.25,3.75
5,Southampton,4,24,21,6,5.25
6,Brighton,4,23,15,5.75,3.75
7,Burnley,4,22,23,5.5,5.75
8,Arsenal,4,22,28,5.5,7
9,Wolves,4,22,22,5.5,5.5
10,Aston Villa,4,21,12,5.25,3
11,Everton,4,20,26,5,6.5
12,Chelsea,4,20,34,5,8.5
13,Tottenham,4,19,27,4.75,6.75
14,Leeds,4,19,26,4.75,6.5
15,Leicester,4,19,31,4.75,7.75
16,Newcastle,4,18,20,4.5,5
17,Norwich,4,17,34,4.25,8.5
18,Crystal Palace,4,16,17,4,4.25
19,Watford,4,13,29,3.25,7.25
20,Brentford,4,10,17,2.5,4.25
